course_title,course_organization,course_certificate_type,course_rating,course_review_num,course_time,course_difficulty,course_students_enrolled,course_url,course_skills,course_tools,course_summary,course_description
AI For Everyone （すべての人のためのAIリテラシー講座）,Not Specified,Professional Certificate,,128,7 Hours,Advanced,9,https://www.coursera.org/learn/ai-for-everyone-ja,Digital Transformation; Data Ethics; Data Science; Artificial Intelligence; AI Product Strategy; Artificial Neural Networks; Machine Learning; Technical Management; Deep Learning; Responsible AI,Not Specified,Not Specified,Not Specified
IA Para Todos (Português),Not Specified,Professional Certificate,,29,6 Hours,Advanced,9,https://www.coursera.org/learn/ai-for-everyone-pt,Machine Learning; Responsible AI; Business Strategy; Deep Learning; Data Science; Artificial Neural Networks; AI Product Strategy; Artificial Intelligence; Data Ethics,Not Specified,Not Specified,Not Specified
AI for Executives & Strategy,Not Specified,Professional Certificate,,0,3 Weeks,Advanced,31,https://www.coursera.org/learn/ai-for-executives--strategy,Not Specified,Not Specified,Not Specified,Not Specified
AI for Human Resources,Not Specified,Professional Certificate,,0,4 Weeks,Advanced,31,https://www.coursera.org/learn/ai-for-human-resources,Not Specified,Not Specified,Not Specified,Not Specified
AI for Learning & Development,Not Specified,Professional Certificate,,0,4 Weeks,Advanced,31,https://www.coursera.org/learn/ai-for-learning-development,Not Specified,Not Specified,Not Specified,Not Specified
AI for Marketing,Not Specified,Professional Certificate,,0,3 Weeks,Advanced,31,https://www.coursera.org/learn/ai-for-marketing,Not Specified,Not Specified,Not Specified,Not Specified
AI for Professional Writing,Not Specified,Professional Certificate,,0,3 Weeks,Advanced,31,https://www.coursera.org/learn/ai-for-professional-writing,Not Specified,Not Specified,Not Specified,Not Specified
AI for Strategic Leadership,Not Specified,Professional Certificate,,0,3 Weeks,Advanced,0,https://www.coursera.org/learn/ai-for-strategic-leadership,Not Specified,Not Specified,Not Specified,Not Specified
AI For All,Not Specified,Professional Certificate,,15,2 Weeks,Advanced,0,https://www.coursera.org/learn/ai-foundations-for-all,Not Specified,Not Specified,Not Specified,Not Specified
AI Governance,Not Specified,Professional Certificate,,106,2 Weeks,Advanced,27,https://www.coursera.org/learn/ai-governance,Not Specified,Not Specified,Not Specified,Not Specified
AI in Finance,Not Specified,Professional Certificate,,0,4 Weeks,Advanced,31,https://www.coursera.org/learn/ai-in-finance,Not Specified,Not Specified,Not Specified,Not Specified
AI in Real Estate,Not Specified,Professional Certificate,,0,3 Weeks,Advanced,31,https://www.coursera.org/learn/ai-in-real-estate,Not Specified,Not Specified,Not Specified,Not Specified
AI in Supply Chain,Not Specified,Professional Certificate,,0,4 Weeks,Advanced,31,https://www.coursera.org/learn/ai-in-supply-chain,Not Specified,Not Specified,Not Specified,Not Specified
Managing AI Projects: From Strategy to Delivery,Not Specified,Professional Certificate,,49,1 Weeks,Advanced,26,https://www.coursera.org/learn/ai-project-management-aipm,Not Specified,Not Specified,Not Specified,Not Specified
Understanding Global Supply Chains,Not Specified,Professional Certificate,,12,2 Weeks,Advanced,6,https://www.coursera.org/learn/airbus-understanding-global-supply-chains,Supply Chain Management; Supply Chain Planning; Strategic Planning; Transportation Operations; Logistics Management; Leadership; Risk Management; Supply Chain; Operations; Inventory Control,Not Specified,Not Specified,Not Specified
Capstone: Applying Project Management in the Real World,Not Specified,Professional Certificate,,306,4 Weeks,Advanced,16,https://www.coursera.org/learn/applying-project-management,Not Specified,Not Specified,Not Specified,Not Specified
Arts and Heritage Management,Not Specified,Professional Certificate,,522,2 Weeks,Advanced,48,https://www.coursera.org/learn/arts-heritage,Not Specified,Not Specified,Not Specified,Not Specified
Assess for Success: Marketing Analytics and Measurement,Not Specified,Professional Certificate,,273,-3 Months,Advanced,16,https://www.coursera.org/learn/assess-for-success,Not Specified,Not Specified,Not Specified,Not Specified
Attract and Engage Customers with Digital Marketing,Not Specified,Professional Certificate,,736,1 Weeks,Advanced,16,https://www.coursera.org/learn/attract-and-engage-customers,Not Specified,Not Specified,Not Specified,Not Specified
Basics of entrepreneurship: thinking and doing,Not Specified,Professional Certificate,,134,9 Hours,Advanced,11,https://www.coursera.org/learn/basics-of-entrepreneurship-thinking-and-doing,Not Specified,Not Specified,Not Specified,Not Specified
Biotech — From Science to Business,Not Specified,Professional Certificate,,12,2 Weeks,Advanced,0,https://www.coursera.org/learn/biotech-from-science-to-business,Not Specified,Not Specified,Not Specified,Not Specified
Bookkeeping basics,Not Specified,Professional Certificate,,636,1 Weeks,Advanced,384,https://www.coursera.org/learn/bookkeeping-basics,Accounting; Ethical Standards And Conduct; Transaction Processing; General Accounting; Financial Statements; Cash Flows; Income Statement; Ledgers (Accounting); Balance Sheet; Bookkeeping,Accounting Software,Not Specified,Not Specified
"Brand Management: Aligning Business, Brand and Behaviour",Not Specified,Professional Certificate,,842,2 Weeks,Advanced,508,https://www.coursera.org/learn/brand,Not Specified,Not Specified,Not Specified,Not Specified
Business Analysis Fundamentals,Not Specified,Professional Certificate,,67,2 Weeks,Advanced,2,https://www.coursera.org/learn/business-analysis-fundamentals,Business Process Improvement; Stakeholder Analysis; Problem Management; Risk Management; Requirements Elicitation; Analysis; Project Management; Stakeholder Management; Business Analysis,Microsoft Power Platform,Not Specified,Not Specified
Business Process Modelling,Not Specified,Professional Certificate,,46,9 Hours,Advanced,81,https://www.coursera.org/learn/business-process-modelling,Not Specified,Not Specified,Not Specified,Not Specified
Canva Design Fundamentals,Not Specified,Professional Certificate,,23,3 Hours,Advanced,0,https://www.coursera.org/learn/canva-design-fundamentals,Typography; Design; File Management; Design Elements And Principles; Layout Design; Graphic and Visual Design,Canva (Software),Not Specified,Not Specified
Leading transformations: Manage change,Not Specified,Professional Certificate,,696,2 Weeks,Advanced,76,https://www.coursera.org/learn/change-management,Not Specified,Not Specified,Not Specified,Not Specified
Change Management for Generative AI,Not Specified,Professional Certificate,,48,2 Hours,Advanced,1,https://www.coursera.org/learn/change-management-generative-ai,Not Specified,Not Specified,Not Specified,Not Specified
Claude AI Comprehensive Guide,Not Specified,Professional Certificate,,13,5 Hours,Advanced,13,https://www.coursera.org/learn/claude-ai-comprehensive-guide,Not Specified,Not Specified,Not Specified,Not Specified
Storytelling and influencing: Communicate with impact,Not Specified,Professional Certificate,,854,2 Weeks,Advanced,176,https://www.coursera.org/learn/communicate-with-impact,Not Specified,Not Specified,Not Specified,Not Specified
Compensation and Benefits,Not Specified,Professional Certificate,,122,2 Weeks,Advanced,204,https://www.coursera.org/learn/compensation-and-benefits,Compensation and Benefits; Compensation Management; Compensation Analysis; Employee Retention; Compensation Strategy; Benefits Administration; Job Evaluation; Human Resources; Payroll,Human Resources Information System (HRIS); Payroll Systems,Not Specified,Not Specified
Construction Cost Estimating and Cost Control,Not Specified,Professional Certificate,,245,2 Weeks,Advanced,0,https://www.coursera.org/learn/construction-cost-estimating,Not Specified,Not Specified,Not Specified,Not Specified
Construction Project Management,Not Specified,Professional Certificate,,378,3 Weeks,Advanced,289,https://www.coursera.org/learn/construction-project-management,Not Specified,Not Specified,Not Specified,Not Specified
Contabilidad para no contadores,Not Specified,Professional Certificate,,794,1 Weeks,Advanced,611,https://www.coursera.org/learn/contabilidad,Not Specified,Not Specified,Not Specified,Not Specified
Corporate & Commercial Law I: Contracts & Employment Law,Not Specified,Professional Certificate,,369,2 Weeks,Advanced,0,https://www.coursera.org/learn/corporate-commercial-law-part1,Bankruptcies; Labor Law; Organizational Structure; Regulation and Legal Compliance; Contract Management; Certified Public Accountant; Legal Writing; Business; Sales; Commercial Laws,Not Specified,Not Specified,Not Specified
Corporate Governance,Not Specified,Professional Certificate,,77,2 Hours,Advanced,28,https://www.coursera.org/learn/corporate-governance-1,Not Specified,Not Specified,Not Specified,Not Specified
Corporate Strategy,Not Specified,Professional Certificate,,835,9 Hours,Advanced,123,https://www.coursera.org/learn/corporatestrategy,Not Specified,Not Specified,Not Specified,Not Specified
Customer Relationship Management,Not Specified,Professional Certificate,,85,4 Hours,Advanced,71,https://www.coursera.org/learn/customer-relationship-management,Not Specified,Not Specified,Not Specified,Not Specified
Customer Service,Not Specified,Professional Certificate,,0,9 Hours,Advanced,26,https://www.coursera.org/learn/customer-service-lo097001,Not Specified,Not Specified,Not Specified,Not Specified
Customer Success: Conociendo al cliente,Not Specified,Professional Certificate,,11,2 Weeks,Advanced,3,https://www.coursera.org/learn/customer-success-conociendo-al-cliente,Not Specified,Not Specified,Not Specified,Not Specified
Data for Business Analysts Using Microsoft Excel,Not Specified,Professional Certificate,,337,2 Weeks,Advanced,2,https://www.coursera.org/learn/data-for-business-analysts-using-microsoft-excel,Spreadsheet Software; Excel Formulas; Business Metrics; Data Manipulation; Data Presentation; Pivot Tables And Charts; Data Cleansing; Data Analysis,Microsoft Excel,Not Specified,Not Specified
Design Fundamentals with AI,Not Specified,Professional Certificate,,687,2 Weeks,Advanced,313,https://www.coursera.org/learn/design-fundamentals-ai,Not Specified,Not Specified,Not Specified,Not Specified
The Digital Marketing Revolution,Not Specified,Professional Certificate,,408,3 Weeks,Advanced,736,https://www.coursera.org/learn/digital-marketing-revolution,Not Specified,Not Specified,Not Specified,Not Specified
Driving Operational Performance,Not Specified,Professional Certificate,,14,1 Weeks,Advanced,195,https://www.coursera.org/learn/driving-operational-performance,Not Specified,Not Specified,Not Specified,Not Specified
Behavioral Finance,Not Specified,Professional Certificate,,57,5 Hours,Advanced,201,https://www.coursera.org/learn/duke-behavioral-finance,Probability & Statistics; Psychology; Decision Making; Consumer Behaviour; Risk Analysis; Finance; Economics; Financial Analysis; Financial Planning; Behavioral Economics,Not Specified,Not Specified,Not Specified
Effective Compliance Programs,Not Specified,Professional Certificate,,180,1 Weeks,Advanced,95,https://www.coursera.org/learn/effective-compliance-programs,Not Specified,Not Specified,Not Specified,Not Specified
Emotional Intelligence: Cultivating Immensely Human Interactions,Not Specified,Professional Certificate,,179,2 Weeks,Advanced,78,https://www.coursera.org/learn/emotional-intelligence-cultivating-immensely-human-interactions,Not Specified,Not Specified,Not Specified,Not Specified
Devenir entrepreneur du changement,Not Specified,Professional Certificate,,75,3 Weeks,Advanced,87,https://www.coursera.org/learn/entrepreneur-changement,Not Specified,Not Specified,Not Specified,Not Specified
The entrepreneur's guide for beginners,Not Specified,Professional Certificate,,164,6 Hours,Advanced,44,https://www.coursera.org/learn/entrepreneur-guide-beginners,Business Modeling; Target Audience; Value Propositions; Fundraising; New Business Development; Business Planning; Lean Methodologies; Entrepreneurship; Market Opportunities; Business Development,Not Specified,Not Specified,Not Specified
Entrepreneurship Strategy: From Ideation to Exit,Not Specified,Professional Certificate,,227,2 Weeks,Advanced,70,https://www.coursera.org/learn/entrepreneurship-strategy,Not Specified,Not Specified,Not Specified,Not Specified
IIBA® Entry Certificate in Business Analysis™ (ECBA™) Exam Prep,Not Specified,Professional Certificate,,59,2 Weeks,Advanced,81,https://www.coursera.org/learn/entry-certificate-in-business-analysis-iiba-exam-prep,Not Specified,Not Specified,Not Specified,Not Specified
Sustainability for Business: ESG Fundamentals,Not Specified,Professional Certificate,,125,1 Weeks,Advanced,10,https://www.coursera.org/learn/esg,Not Specified,Not Specified,Not Specified,Not Specified
Marketing Digital,Not Specified,Professional Certificate,,404,2 Weeks,Advanced,467,https://www.coursera.org/learn/estrategia-marketing-digital,Not Specified,Not Specified,Not Specified,Not Specified
Excel Skills for Business: Advanced,Not Specified,Professional Certificate,,432,3 Weeks,Advanced,1,https://www.coursera.org/learn/excel-advanced,Not Specified,Not Specified,Not Specified,Not Specified
Excel Skills for Business: Essentials,Not Specified,Professional Certificate,,115,3 Weeks,Advanced,0,https://www.coursera.org/learn/excel-essentials,Analytical Skills; Business Analytics; Excel Formulas; Data Analysis Expressions (DAX); Spreadsheet Software; Data Analysis Software,Microsoft Office; Microsoft Excel; Productivity Software,Not Specified,Not Specified
Excel Skills for Business: Intermediate I,Not Specified,Professional Certificate,,365,3 Weeks,Advanced,1,https://www.coursera.org/learn/excel-intermediate-1,Consolidation; Spreadsheet Software; Data Integration; Data Cleansing; Data Management; Data Analysis Expressions (DAX); Automation; Business Reporting,Dashboard; Microsoft Excel,Not Specified,Not Specified
Excel Skills for Business: Intermediate II,Not Specified,Professional Certificate,,648,3 Weeks,Advanced,1,https://www.coursera.org/learn/excel-intermediate-2,Automation; Excel Macros; Spreadsheet Software; Data Modeling; Financial Forecasting; Business Modeling; Data Validation; Data Integrity; Excel Formulas,Microsoft Excel,Not Specified,Not Specified
"Executivo de Vendas, Vendas Consultivas e Prospecção",Not Specified,Professional Certificate,,45,2 Weeks,Advanced,4,https://www.coursera.org/learn/executivo-vendas-vendas-consultivas-e-prospeccao,Not Specified,Not Specified,Not Specified,Not Specified
Personal & Family Financial Planning,Not Specified,Professional Certificate,,556,2 Weeks,Advanced,186,https://www.coursera.org/learn/family-planning,Insurance; Portfolio Management; Risk Management; Budgeting; Financial Statements; Credit Risk; Investments; Cash Management; Financial Planning; Financial Management; Income Tax; Tax Management,Not Specified,Not Specified,Not Specified
Finance for Non-Finance Professionals,Not Specified,Professional Certificate,,838,1 Weeks,Advanced,217,https://www.coursera.org/learn/finance-for-non-finance,Not Specified,Not Specified,Not Specified,Not Specified
Finance for Non-finance Professionals,Not Specified,Professional Certificate,,0,3 Weeks,Advanced,0,https://www.coursera.org/learn/finance-for-non-finance-professionals,Not Specified,Not Specified,Not Specified,Not Specified
Finance for Non-Financial Managers,Not Specified,Professional Certificate,,475,1 Weeks,Advanced,55,https://www.coursera.org/learn/finance-for-non-financial-managers,Not Specified,Not Specified,Not Specified,Not Specified
Fundamentals of Finance,Not Specified,Professional Certificate,,130,1 Weeks,Advanced,192,https://www.coursera.org/learn/finance-fundamentals,Not Specified,Not Specified,Not Specified,Not Specified
Financial Acumen for Non-Financial Managers,Not Specified,Professional Certificate,,180,1 Weeks,Advanced,97,https://www.coursera.org/learn/finance-healthcare-managers,Not Specified,Not Specified,Not Specified,Not Specified
Accounting: Principles of Financial Accounting,Not Specified,Professional Certificate,,325,1 Weeks,Advanced,167,https://www.coursera.org/learn/financial-accounting,Not Specified,Not Specified,Not Specified,Not Specified
Introduction to Financial Engineering and Risk Management,Not Specified,Professional Certificate,,99,2 Weeks,Advanced,463,https://www.coursera.org/learn/financial-engineering-intro,Not Specified,Not Specified,Not Specified,Not Specified
Financial Markets,Not Specified,Professional Certificate,,146,3 Weeks,Advanced,2,https://www.coursera.org/learn/financial-markets-global,Not Specified,Not Specified,Not Specified,Not Specified
Mercados financieros,Not Specified,Professional Certificate,,594,3 Weeks,Advanced,2,https://www.coursera.org/learn/financial-markets-global-es,Not Specified,Not Specified,Not Specified,Not Specified
Financial Planning,Not Specified,Professional Certificate,,19,2 Weeks,Advanced,8,https://www.coursera.org/learn/financial-planning-course-isb,Loans; Financial Management; General Finance; Budgeting; Financial Market; Risk Management; Insurance; Tax Planning; Income Tax; Wealth Management; Investments; Financial Planning; Goal Setting,Not Specified,Not Specified,Not Specified
Reconciling accounts and examining financial statements,Not Specified,Professional Certificate,,828,2 Weeks,Advanced,384,https://www.coursera.org/learn/financial-statement-analysis,Not Specified,Not Specified,Not Specified,Not Specified
Financing Biotech Innovation,Not Specified,Professional Certificate,,0,3 Weeks,Advanced,2,https://www.coursera.org/learn/financing-biotech-innovation,Not Specified,Not Specified,Not Specified,Not Specified
Finanzas personales,Not Specified,Professional Certificate,,21,9 Hours,Advanced,713,https://www.coursera.org/learn/finanzas-personales,Not Specified,Not Specified,Not Specified,Not Specified
FinTech Law and Policy,Not Specified,Professional Certificate,,902,1 Weeks,Advanced,42,https://www.coursera.org/learn/fintechlawandpolicy,Not Specified,Not Specified,Not Specified,Not Specified
Les Fondamentaux de la Négociation,Not Specified,Professional Certificate,,444,9 Hours,Advanced,161,https://www.coursera.org/learn/fondamentaux-negociation,Not Specified,Not Specified,Not Specified,Not Specified
Food & Beverage Management,Not Specified,Professional Certificate,,31,1 Weeks,Advanced,213,https://www.coursera.org/learn/food-beverage-management,Not Specified,Not Specified,Not Specified,Not Specified
Forensic Accounting and Fraud Examination,Not Specified,Professional Certificate,,86,7 Hours,Advanced,174,https://www.coursera.org/learn/forensic-accounting,Financial Auditing; Anomaly Detection; Investigation; Internal Controls; Data Analysis Software; Compliance Reporting; Analytics; Big Data; Cybersecurity; Ethical Standards And Conduct; Accounting,Fraud detection,Not Specified,Not Specified
Foundations of Business Analysis,Not Specified,Professional Certificate,,121,2 Weeks,Advanced,37,https://www.coursera.org/learn/foundations-business-analysis,Not Specified,Not Specified,Not Specified,Not Specified
Foundations of Digital Marketing and E-commerce,Not Specified,Professional Certificate,,302,1 Weeks,Advanced,16,https://www.coursera.org/learn/foundations-of-digital-marketing-and-e-commerce,Not Specified,Not Specified,Not Specified,Not Specified
From Likes to Leads: Interact with Customers Online,Not Specified,Professional Certificate,,7,2 Weeks,Advanced,16,https://www.coursera.org/learn/from-likes-to-leads,Not Specified,Not Specified,Not Specified,Not Specified
Fundamentals of Financial Analysis,Not Specified,Professional Certificate,,116,4 Hours,Advanced,0,https://www.coursera.org/learn/fundamentals-of-financial-analysis,Not Specified,Not Specified,Not Specified,Not Specified
Gestión de la comunicación interna en las organizaciones,Not Specified,Professional Certificate,,115,2 Weeks,Advanced,30,https://www.coursera.org/learn/gestion-comunicacion-interna-organizaciones,Not Specified,Not Specified,Not Specified,Not Specified
Gestión Empresarial Exitosa para Pymes,Not Specified,Professional Certificate,,753,8 Hours,Advanced,252,https://www.coursera.org/learn/gestionempresarialpyme,Not Specified,Not Specified,Not Specified,Not Specified
Doing more with Google Sheets,Not Specified,Professional Certificate,,394,5 Hours,Advanced,4,https://www.coursera.org/learn/getting-started-with-google-sheets,Data Visualization Software; Data Import/Export; Data Management; Excel Formulas; Data Presentation; Spreadsheet Software; Pivot Tables And Charts; Data Sharing; Data Analysis; Data Visualization,Collaborative Software; Google Sheets,Not Specified,Not Specified
Getting Started with U.S. Payroll Fundamentals,Not Specified,Professional Certificate,,61,1 Weeks,Advanced,85,https://www.coursera.org/learn/getting-started-with-us-payroll-fundamentals,Not Specified,Not Specified,Not Specified,Not Specified
Create a High-Performing Team,Not Specified,Professional Certificate,,255,3 Hours,Advanced,0,https://www.coursera.org/learn/google-create-a-high-performing-team,Not Specified,Not Specified,Not Specified,Not Specified
Foundations of Agile Project Management,Not Specified,Professional Certificate,,48,3 Hours,Advanced,16,https://www.coursera.org/learn/google-foundations-of-agile-project-management,Kanban Principles; Agile Project Management; Agile Methodology; Lean Methodologies; Waterfall Methodology; Scaled Agile Framework,Not Specified,Not Specified,Not Specified
Grow as a Manager,Not Specified,Professional Certificate,,148,2 Hours,Advanced,16,https://www.coursera.org/learn/google-grow-as-a-manager,Growth Mindedness; Initiative and Leadership; Leadership; AI Enablement; Leadership and Management,Not Specified,Not Specified,Not Specified
Set and Achieve Team Goals,Not Specified,Professional Certificate,,54,3 Hours,Advanced,0,https://www.coursera.org/learn/google-set-and-achieve-team-goals,Team Leadership; Overcoming Obstacles; Motivational Skills; Collaboration; Employee Engagement; Productivity,Not Specified,Not Specified,Not Specified
Support Individual Growth and Development,Not Specified,Professional Certificate,,47,3 Hours,Advanced,0,https://www.coursera.org/learn/google-support-individual-growth-and-development,Self-Awareness; Team Management; Goal Setting; Performance Management,Not Specified,Not Specified,Not Specified
Governmental Accounting and Reporting I,Not Specified,Professional Certificate,,12,3 Weeks,Advanced,4,https://www.coursera.org/learn/governmental-accounting-and-reporting-1,Not Specified,Not Specified,Not Specified,Not Specified
Happiness Skills,Not Specified,Professional Certificate,,21,- Days,Advanced,247,https://www.coursera.org/learn/happiness-science-practice-and-ancient-indian-wisdom,Not Specified,Not Specified,Not Specified,Not Specified
Hotel Front Office Operations,Not Specified,Professional Certificate,,67,3 Hours,Advanced,19,https://www.coursera.org/learn/hotel-front-office-operations,Not Specified,Not Specified,Not Specified,Not Specified
How to Develop Standard Operating Procedures (SOPs),Not Specified,Professional Certificate,,41,4 Hours,Advanced,0,https://www.coursera.org/learn/how-to-develop-standard-operating-procedures-sops,Not Specified,Not Specified,Not Specified,Not Specified
Human Resources Analytics,Not Specified,Professional Certificate,,146,7 Hours,Advanced,174,https://www.coursera.org/learn/human-resources-analytics,Not Specified,Not Specified,Not Specified,Not Specified
Impact Measurement & Management for the SDGs,Not Specified,Professional Certificate,,652,9 Hours,Advanced,44,https://www.coursera.org/learn/impact-for-sdgs,Not Specified,Not Specified,Not Specified,Not Specified
Influencer Marketing Strategy,Not Specified,Professional Certificate,,195,3 Weeks,Advanced,58,https://www.coursera.org/learn/influencer-marketing-strategy,Not Specified,Not Specified,Not Specified,Not Specified
Financing and Investing in Infrastructure,Not Specified,Professional Certificate,,113,1 Weeks,Advanced,0,https://www.coursera.org/learn/infrastructure-investing,Investments; Capital Budgeting; Risk Management; Financial Analysis; Project Finance; Finance; Private Equity; Credit Risk; Risk Analysis; Contract Management; Banking,Not Specified,Not Specified,Not Specified
Innovation Management,Not Specified,Professional Certificate,,599,- Weeks,Advanced,128,https://www.coursera.org/learn/innovation-management,Not Specified,Not Specified,Not Specified,Not Specified
Inteligencia Artificial aplicada al Marketing,Not Specified,Professional Certificate,,17,2 Weeks,Advanced,1,https://www.coursera.org/learn/inteligencia-artificial-aplicada-al-marketing,Not Specified,Not Specified,Not Specified,Not Specified
International Organizations Management,Not Specified,Professional Certificate,,756,2 Weeks,Advanced,80,https://www.coursera.org/learn/international-organizations-management,Not Specified,Not Specified,Not Specified,Not Specified
Interviewer training for Hiring Managers,Not Specified,Professional Certificate,,0,6 Hours,Advanced,403,https://www.coursera.org/learn/interviewer-training-for-hiring-managers,Not Specified,Not Specified,Not Specified,Not Specified
Introduction to Artificial Intelligence,Not Specified,Professional Certificate,,65,2 Weeks,Advanced,35,https://www.coursera.org/learn/intro-to-artificial-intelligence,Not Specified,Not Specified,Not Specified,Not Specified
Introduction to American Corporate Law,Not Specified,Professional Certificate,,0,4 Hours,Advanced,971,https://www.coursera.org/learn/introduction-to-american-corporate-law,Not Specified,Not Specified,Not Specified,Not Specified
Introduction to Business Analysis,Not Specified,Professional Certificate,,96,- Days,Advanced,4,https://www.coursera.org/learn/introduction-to-business-analysis,Not Specified,Not Specified,Not Specified,Not Specified
Introduction to Business Management: Winning Internally,Not Specified,Professional Certificate,,29,- Days,Advanced,7,https://www.coursera.org/learn/introduction-to-business-management-winning-internally,Not Specified,Not Specified,Not Specified,Not Specified
Introduction to Change Management: Practical Strategies,Not Specified,Professional Certificate,,0,4 Hours,Advanced,46,https://www.coursera.org/learn/introduction-to-change-management-practical-strategies,Not Specified,Not Specified,Not Specified,Not Specified
Introduction to Events Management,Not Specified,Professional Certificate,,282,2 Hours,Advanced,44,https://www.coursera.org/learn/introduction-to-events-management,Not Specified,Not Specified,Not Specified,Not Specified
Introduction to Finance: The Basics,Not Specified,Professional Certificate,,544,2 Weeks,Advanced,89,https://www.coursera.org/learn/introduction-to-finance-the-basics,Not Specified,Not Specified,Not Specified,Not Specified
"Introduction to Financial Analysis - The ""Why?""",Not Specified,Professional Certificate,,345,1 Weeks,Advanced,141,https://www.coursera.org/learn/introduction-to-financial-analysis-the-why,Not Specified,Not Specified,Not Specified,Not Specified
Introduction to Jira,Not Specified,Professional Certificate,,18,2 Hours,Advanced,4,https://www.coursera.org/learn/introduction-to-jira,Issue Tracking; Backlogs; Work Order; Prioritization; Workflow Management,Collaborative Software; Dashboard; Project Management Software,Not Specified,Not Specified
Introduction to Merchandising,Not Specified,Professional Certificate,,27,2 Hours,Advanced,71,https://www.coursera.org/learn/introduction-to-merchandising,Not Specified,Not Specified,Not Specified,Not Specified
Introduction to Microsoft Dynamics 365,Not Specified,Professional Certificate,,84,1 Weeks,Advanced,2,https://www.coursera.org/learn/introduction-to-microsoft-dynamics-365,Not Specified,Not Specified,Not Specified,Not Specified
