course_title,course_organization,course_certificate_type,course_rating,course_review_num,course_time,course_difficulty,course_students_enrolled,course_url,course_skills,course_tools,course_summary,course_description
AI Agents and Agentic AI Architecture in Python,Not Specified,Professional Certificate,,124,7 Hours,Advanced,1,https://www.coursera.org/learn/ai-agents-architecture-python,Not Specified,Not Specified,Not Specified,Not Specified
AI Agents: From Prompts to Multi-Agent Systems,Not Specified,Professional Certificate,,159,9 Hours,Advanced,0,https://www.coursera.org/learn/ai-agents-from-prompts-to-multi-agent-systems,Agentic systems; Artificial Intelligence; Innovation; Responsible AI; Algorithms,AI Orchestration; AI Workflows; Generative AI; Prompt Engineering,Not Specified,Not Specified
AI Agents in Typescript/Javascript with Generative AI,Not Specified,Professional Certificate,,0,9 Hours,Advanced,1,https://www.coursera.org/learn/ai-agents-javascript-typescript,Not Specified,Not Specified,Not Specified,Not Specified
AI Agents with Model Context Protocol,Not Specified,Professional Certificate,,0,7 Hours,Advanced,1,https://www.coursera.org/learn/ai-agents-model-context-protocol,Not Specified,Not Specified,Not Specified,Not Specified
AI Agents and Agentic AI with Python & Generative AI,Not Specified,Professional Certificate,,417,1 Weeks,Advanced,1,https://www.coursera.org/learn/ai-agents-python,File Management; LLM Application; Generative AI Agents; Agentic systems; Software Documentation; Tool Calling; Application Development,AI Workflows; OpenAI; AI Orchestration; Prompt Engineering,Not Specified,Not Specified
AI and Climate Change,Not Specified,Professional Certificate,,142,2 Weeks,Advanced,33,https://www.coursera.org/learn/ai-and-climate-change,Not Specified,Not Specified,Not Specified,Not Specified
AI and Disaster Management,Not Specified,Professional Certificate,,320,1 Weeks,Advanced,33,https://www.coursera.org/learn/ai-and-disaster-management,Not Specified,Not Specified,Not Specified,Not Specified
AI and Public Health,Not Specified,Professional Certificate,,250,9 Hours,Advanced,33,https://www.coursera.org/learn/ai-and-public-health,Not Specified,Not Specified,Not Specified,Not Specified
AI & Automation for Supply Chain Resilience,Not Specified,Professional Certificate,,0,6 Hours,Advanced,403,https://www.coursera.org/learn/ai-automation-for-supply-chain-resilience,Not Specified,Not Specified,Not Specified,Not Specified
AI Capstone Project with Deep Learning,Not Specified,Professional Certificate,,124,2 Weeks,Advanced,2,https://www.coursera.org/learn/ai-deep-learning-capstone,Machine Learning; Deep Learning; Computer Vision; Data Pipelines; Data Preprocessing; Model Evaluation; Transfer Learning; Convolutional Neural Networks; Geospatial Information and Technology,Model Deployment; Vision Transformer (ViT); Keras (Neural Network Library); PyTorch (Machine Learning Library); Python Programming,Not Specified,Not Specified
AI For Data Analysts,Not Specified,Professional Certificate,,0,1 Weeks,Advanced,31,https://www.coursera.org/learn/ai-for-data-analysts,Not Specified,Not Specified,Not Specified,Not Specified
Capstone Project: Advanced AI for Drug Discovery,Not Specified,Professional Certificate,,7,1 Weeks,Advanced,983,https://www.coursera.org/learn/ai-for-drug-discovery,Not Specified,Not Specified,Not Specified,Not Specified
AI for Medical Diagnosis,Not Specified,Professional Certificate,,510,2 Weeks,Advanced,100,https://www.coursera.org/learn/ai-for-medical-diagnosis,Not Specified,Not Specified,Not Specified,Not Specified
AI for Medical Prognosis,Not Specified,Professional Certificate,,141,3 Weeks,Advanced,100,https://www.coursera.org/learn/ai-for-medical-prognosis,Not Specified,Not Specified,Not Specified,Not Specified
AI For Medical Treatment,Not Specified,Professional Certificate,,106,2 Weeks,Advanced,100,https://www.coursera.org/learn/ai-for-medical-treatment,Not Specified,Not Specified,Not Specified,Not Specified
AI in Supply Chain Forecasting and Risk Management,Not Specified,Professional Certificate,,6,4 Hours,Advanced,14,https://www.coursera.org/learn/ai-in-supply-chain-forecasting-and-risk-management,Not Specified,Not Specified,Not Specified,Not Specified
AI Infrastructure and Operations Fundamentals,Not Specified,Professional Certificate,,485,1 Weeks,Advanced,127,https://www.coursera.org/learn/ai-infrastructure-operations-fundamentals,Not Specified,Not Specified,Not Specified,Not Specified
Alteryx Mastery: Data Analytics & Workflow Automation,Not Specified,Professional Certificate,,0,3 Hours,Advanced,71,https://www.coursera.org/learn/alteryx-mastery-data-analytics--workflow-automation,Not Specified,Not Specified,Not Specified,Not Specified
Analysis and Visualization of Data with Power BI,Not Specified,Professional Certificate,,23,3 Weeks,Advanced,2,https://www.coursera.org/learn/analysis-and-visualization-of-data-with-power-bi,Not Specified,Not Specified,Not Specified,Not Specified
Analytics en las organizaciones,Not Specified,Professional Certificate,,19,2 Weeks,Advanced,4,https://www.coursera.org/learn/analytics-analisis-datos,Not Specified,Not Specified,Not Specified,Not Specified
Analyze Data to Answer Questions,Not Specified,Professional Certificate,,212,3 Weeks,Advanced,0,https://www.coursera.org/learn/analyze-data,Data Transformation; User Feedback; Data Compilation; Pivot Tables And Charts; Data Analysis; Analytics; SQL; Excel Formulas; Data Manipulation; Data Validation; Data Integration; Spreadsheet Software,Not Specified,Not Specified,Not Specified
Analyzing and Visualizing Data in Looker,Not Specified,Professional Certificate,,371,6 Hours,Advanced,4,https://www.coursera.org/learn/analyzing-and-visualizing-data-in-looker,Data Analysis; Data Import/Export; Data Sharing; Data Manipulation; Looker (Software); Data Visualization Software; Data Presentation,Dashboard,Not Specified,Not Specified
Applied Data Science Capstone,Not Specified,Professional Certificate,,238,1 Weeks,Advanced,404,https://www.coursera.org/learn/applied-data-science-capstone,Not Specified,Not Specified,Not Specified,Not Specified
Applied Statistics for Data Analytics,Not Specified,Professional Certificate,,61,4 Weeks,Advanced,46,https://www.coursera.org/learn/applied-statistics-for-data-analytics,Not Specified,Not Specified,Not Specified,Not Specified
Machine Learning in the Enterprise,Not Specified,Professional Certificate,,494,2 Weeks,Advanced,4,https://www.coursera.org/learn/art-science-ml,Not Specified,Not Specified,Not Specified,Not Specified
Artificial Intelligence for Breast Cancer Detection,Not Specified,Professional Certificate,,29,2 Weeks,Advanced,5,https://www.coursera.org/learn/artificial-intelligence-for-breast-cancer-detection,Not Specified,Not Specified,Not Specified,Not Specified
Ask Questions to Make Data-Driven Decisions,Not Specified,Professional Certificate,,201,2 Weeks,Advanced,16,https://www.coursera.org/learn/ask-questions-make-decisions,Not Specified,Not Specified,Not Specified,Not Specified
Natural Language Processing with Attention Models,Not Specified,Professional Certificate,,299,3 Weeks,Advanced,249,https://www.coursera.org/learn/attention-models-in-nlp,Natural Language Processing; Applied Machine Learning; Model Evaluation; Transfer Learning; Recurrent Neural Networks (RNNs); Embeddings,Keras (Neural Network Library); PyTorch (Machine Learning Library),Not Specified,Not Specified
"Auditing Generative AI: Strategy, Analysis & Risk Mitigation",Not Specified,Professional Certificate,,50,2 Hours,Advanced,4,https://www.coursera.org/learn/auditing-generative-ai-strategy-analysis--risk-mitigation,Artificial Intelligence; Machine Learning Methods; Auditing; Business Transformation; Risk Management; Responsible AI; Compliance Auditing; AI Security; Risk Analysis; Risk Mitigation,Generative AI,Not Specified,Not Specified
Automation & Advanced Techniques with Copilot in Excel,Not Specified,Professional Certificate,,58,2 Weeks,Advanced,0,https://www.coursera.org/learn/automation-and-advanced-techniques-with-copilot-in-excel,Forecasting; Automation; Scenario Testing; User Interface (UI); Data Analysis Expressions (DAX); Debugging; Microsoft Copilot; Excel Macros; Programming Principles,Microsoft Excel; Dashboard; UI Components; Visual Basic (Programming Language),Not Specified,Not Specified
AWS Certified AI Practitioner,Not Specified,Professional Certificate,,0,1 Weeks,Advanced,4,https://www.coursera.org/learn/aws-certified-ai-practitioner,Not Specified,Not Specified,Not Specified,Not Specified
Basic Statistics,Not Specified,Professional Certificate,,709,2 Weeks,Advanced,321,https://www.coursera.org/learn/basic-statistics,Statistics; Statistical Hypothesis Testing; Data Analysis Software; Scientific Methods; Quantitative Research,Not Specified,Not Specified,Not Specified
Bayesian Statistics,Not Specified,Professional Certificate,,56,4 Weeks,Advanced,429,https://www.coursera.org/learn/bayesian,Not Specified,Not Specified,Not Specified,Not Specified
Bayesian Statistics: From Concept to Data Analysis,Not Specified,Professional Certificate,,3,1 Weeks,Advanced,159,https://www.coursera.org/learn/bayesian-statistics,Not Specified,Not Specified,Not Specified,Not Specified
"Big Data, Artificial Intelligence, and Ethics",Not Specified,Professional Certificate,,729,9 Hours,Advanced,93,https://www.coursera.org/learn/big-data-ai-ethics,Not Specified,Not Specified,Not Specified,Not Specified
大數據分析：商業應用與策略管理 (Big Data Analytics: Business Applications and Strategic Decisions),Not Specified,Professional Certificate,,91,2 Weeks,Advanced,25,https://www.coursera.org/learn/bigdataanalysis,Not Specified,Not Specified,Not Specified,Not Specified
Build Basic Generative Adversarial Networks (GANs),Not Specified,Professional Certificate,,667,3 Weeks,Advanced,134,https://www.coursera.org/learn/build-basic-generative-adversarial-networks-gans,Artificial Neural Networks; Deep Learning; Data Ethics; Generative Model Architectures; Unsupervised Learning; Convolutional Neural Networks; Image Analysis; Responsible AI,Generative Adversarial Networks (GANs); PyTorch (Machine Learning Library),Not Specified,Not Specified
Build Intelligent Agents Using DeepSeek & N8N,Not Specified,Professional Certificate,,12,2 Weeks,Advanced,0,https://www.coursera.org/learn/build-intelligent-agents-using-deepseek--n8n-workflows,Automation; Email Automation; Workflow Management; Data Analysis; Large Language Modeling; Data Processing,Google Sheets; Generative AI; Model Deployment; Deepseek; No-Code Development; Gmail; AI Workflows,Not Specified,Not Specified
Build RAG Applications: Get Started,Not Specified,Professional Certificate,,29,7 Hours,Advanced,123,https://www.coursera.org/learn/build-rag-applications-get-started,Retrieval-Augmented Generation; LLM Application; Embeddings,Jupyter; Vector Databases,Not Specified,Not Specified
Building Basic AI Agents,Not Specified,Professional Certificate,,5,6 Hours,Advanced,13,https://www.coursera.org/learn/building-basic-ai-agents,Not Specified,Not Specified,Not Specified,Not Specified
Deep Learning with Keras and Tensorflow,Not Specified,Professional Certificate,,151,2 Weeks,Advanced,57,https://www.coursera.org/learn/building-deep-learning-models-with-tensorflow,Not Specified,Not Specified,Not Specified,Not Specified
Building Generative AI-Powered Applications with Python,Not Specified,Professional Certificate,,58,2 Weeks,Advanced,1,https://www.coursera.org/learn/building-gen-ai-powered-applications,LLM Application; Image Analysis; Natural Language Processing; Retrieval-Augmented Generation,Python Programming; LangChain; Flask (Web Framework); Hugging Face; Generative AI; OpenAI; Prompt Engineering; Web Applications,Not Specified,Not Specified
Business Analytics,Not Specified,Professional Certificate,,228,7 Hours,Advanced,82,https://www.coursera.org/learn/business-analytics-bbva,Not Specified,Not Specified,Not Specified,Not Specified
Business Analytics,Not Specified,Professional Certificate,,53,7 Hours,Advanced,82,https://www.coursera.org/learn/business-analytics-enus-bbva,Not Specified,Not Specified,Not Specified,Not Specified
Data Analyst Career Guide and Interview Preparation,Not Specified,Professional Certificate,,781,1 Weeks,Advanced,1,https://www.coursera.org/learn/career-guide-and-interview-prep-for-data-analyst,Not Specified,Not Specified,Not Specified,Not Specified
Data Scientist Career Guide and Interview Preparation,Not Specified,Professional Certificate,,376,9 Hours,Advanced,1,https://www.coursera.org/learn/career-guide-and-interview-prep-for-data-science-pc,Not Specified,Not Specified,Not Specified,Not Specified
Causal Inference,Not Specified,Professional Certificate,,105,1 Weeks,Advanced,22,https://www.coursera.org/learn/causal-inference,Not Specified,Not Specified,Not Specified,Not Specified
Causal Inference 2,Not Specified,Professional Certificate,,15,6 Hours,Advanced,22,https://www.coursera.org/learn/causal-inference-2,Not Specified,Not Specified,Not Specified,Not Specified
Generative Pre-trained Transformers (GPT),Not Specified,Professional Certificate,,11,1 Weeks,Advanced,6,https://www.coursera.org/learn/chatgpt,Artificial Intelligence; Data Ethics; Large Language Modeling; LLM Application; Deep Learning; Artificial Neural Networks; Responsible AI; Model Evaluation; Natural Language Processing,Generative AI; ChatGPT; OpenAI,Not Specified,Not Specified
ChatGPT & Generative AI for Data Analytics,Not Specified,Professional Certificate,,21,1 Weeks,Advanced,7,https://www.coursera.org/learn/chatgpt-for-data-analytics,Data Analysis; Excel Formulas; Deep Learning; Artificial Intelligence; Data Literacy; Data Science; Business Intelligence; SQL; Analytics; AI Enablement; Debugging,Generative AI; Query Languages; Prompt Engineering; ChatGPT; Microsoft Excel; Google Sheets; Power BI; Python Programming,Not Specified,Not Specified
Natural Language Processing with Classification and Vector Spaces,Not Specified,Professional Certificate,,342,3 Weeks,Advanced,249,https://www.coursera.org/learn/classification-vector-spaces-in-nlp,Not Specified,Not Specified,Not Specified,Not Specified
Computational Neuroscience,Not Specified,Professional Certificate,,217,2 Weeks,Advanced,148,https://www.coursera.org/learn/computational-neuroscience,Not Specified,Not Specified,Not Specified,Not Specified
Convolutional Neural Networks,Not Specified,Professional Certificate,,236,4 Weeks,Advanced,9,https://www.coursera.org/learn/convolutional-neural-networks,Data Preprocessing; Image Analysis; Convolutional Neural Networks; Deep Learning; Computer Vision; Artificial Neural Networks; Transfer Learning,Keras (Neural Network Library); PyTorch (Machine Learning Library); Tensorflow,Not Specified,Not Specified
Convolutional Neural Networks in TensorFlow,Not Specified,Professional Certificate,,223,2 Weeks,Advanced,600,https://www.coursera.org/learn/convolutional-neural-networks-tensorflow,Image Analysis; Model Evaluation; Computer Vision; Data Preprocessing; Convolutional Neural Networks; Applied Machine Learning; Transfer Learning; Deep Learning; Machine Learning,Keras (Neural Network Library); Tensorflow; Classification Algorithms,Not Specified,Not Specified
Microsoft Copilot for Excel: AI-Powered Data Analysis,Not Specified,Professional Certificate,,15,4 Hours,Advanced,7,https://www.coursera.org/learn/copilot-for-excel,Pivot Tables And Charts; Data Analysis; Excel Formulas; Data Visualization; Artificial Intelligence; Human Resources Software; Data Presentation; Microsoft Copilot; Data Manipulation,Microsoft Excel; Generative AI; Microsoft 365; Prompt Engineering; ChatGPT,Not Specified,Not Specified
Copilot Studio,Not Specified,Professional Certificate,,0,4 Hours,Advanced,0,https://www.coursera.org/learn/copilot-studio,AI Enablement; Performance Tuning; Microsoft Copilot; Generative AI Agents; Data Integration; Scalability; Business Logic; User Feedback; Application Deployment,Prompt Engineering; AI Workflows; Model Deployment; No-Code Development,Not Specified,Not Specified
A Crash Course in Causality: Inferring Causal Effects from Observational Data,Not Specified,Professional Certificate,,572,5 Weeks,Advanced,0,https://www.coursera.org/learn/crash-course-in-causality,Quantitative Research; Statistical Modeling; Statistical Inference; Regression Analysis; Research Design; Data Analysis; Statistical Methods; Statistical Analysis; Graph Theory,R (Software); R Programming,Not Specified,Not Specified
Creative Designing in Power BI,Not Specified,Professional Certificate,,362,2 Weeks,Advanced,2,https://www.coursera.org/learn/creative-designing-in-power-bi,Not Specified,Not Specified,Not Specified,Not Specified
"Custom Models, Layers, and Loss Functions with TensorFlow",Not Specified,Professional Certificate,,339,3 Weeks,Advanced,600,https://www.coursera.org/learn/custom-models-layers-loss-functions-with-tensorflow,Artificial Neural Networks; Convolutional Neural Networks; Deep Learning; Model Evaluation; Transfer Learning,Tensorflow; Keras (Neural Network Library),Not Specified,Not Specified
Data Analysis and Visualization with Power BI,Not Specified,Professional Certificate,,11,3 Weeks,Advanced,2,https://www.coursera.org/learn/data-analysis-and-visualization-with-power-bi,Not Specified,Not Specified,Not Specified,Not Specified
Data Analysis and Presentation Skills: the PwC Approach Final Project,Not Specified,Professional Certificate,,256,2 Weeks,Advanced,397,https://www.coursera.org/learn/data-analysis-project-pwc,Not Specified,Not Specified,Not Specified,Not Specified
Data Analysis Using Python,Not Specified,Professional Certificate,,430,2 Weeks,Advanced,0,https://www.coursera.org/learn/data-analysis-python,Not Specified,Not Specified,Not Specified,Not Specified
Data Analysis with Python,Not Specified,Professional Certificate,,666,2 Weeks,Advanced,2,https://www.coursera.org/learn/data-analysis-with-python,Not Specified,Not Specified,Not Specified,Not Specified
Data Analysis with R,Not Specified,Professional Certificate,,88,2 Weeks,Advanced,52,https://www.coursera.org/learn/data-analysis-with-r,Not Specified,Not Specified,Not Specified,Not Specified
Data Analysis with Spreadsheets and SQL,Not Specified,Professional Certificate,,288,3 Weeks,Advanced,41,https://www.coursera.org/learn/data-analysis-with-spreadsheets-and-sql,Not Specified,Not Specified,Not Specified,Not Specified
Data Analysis with Tableau,Not Specified,Professional Certificate,,111,3 Weeks,Advanced,108,https://www.coursera.org/learn/data-analysis-with-tableau-public,Not Specified,Not Specified,Not Specified,Not Specified
Introduction to Data Analytics for Business,Not Specified,Professional Certificate,,182,1 Weeks,Advanced,249,https://www.coursera.org/learn/data-analytics-business,Not Specified,Not Specified,Not Specified,Not Specified
Data Analytics Course with Generative AI,Not Specified,Professional Certificate,,11,6 Hours,Advanced,66,https://www.coursera.org/learn/data-analytics-course-with-generative-ai,Not Specified,Not Specified,Not Specified,Not Specified
Data Analytics for Lean Six Sigma,Not Specified,Professional Certificate,,504,1 Weeks,Advanced,96,https://www.coursera.org/learn/data-analytics-for-lean-six-sigma,Not Specified,Not Specified,Not Specified,Not Specified
Data Analytics Foundations,Not Specified,Professional Certificate,,202,3 Weeks,Advanced,46,https://www.coursera.org/learn/data-analytics-foundations,Not Specified,Not Specified,Not Specified,Not Specified
Data Analytics with Python,Not Specified,Professional Certificate,,22,5 Hours,Advanced,25,https://www.coursera.org/learn/data-analytics-with-python,Not Specified,Not Specified,Not Specified,Not Specified
Data Augmented Technology Assisted Medical Decision Making,Not Specified,Professional Certificate,,0,1 Weeks,Advanced,1,https://www.coursera.org/learn/data-augmented-technology-assisted-medical-decision-making,Not Specified,Not Specified,Not Specified,Not Specified
Getting and Cleaning Data,Not Specified,Professional Certificate,,336,2 Weeks,Advanced,1,https://www.coursera.org/learn/data-cleaning,Data Collection; Data Management; Data Access; Data Manipulation; Web Scraping; Data Integration; Data Preprocessing; Data Cleansing; Data Import/Export,R Programming; MySQL; Application Programming Interface (API),Not Specified,Not Specified
Data Cleaning & Processing with Copilot in Excel,Not Specified,Professional Certificate,,56,2 Weeks,Advanced,2,https://www.coursera.org/learn/data-cleaning-and-processing-with-copilot-in-excel,Not Specified,Not Specified,Not Specified,Not Specified
Data intelligence for businesses and managers,Not Specified,Professional Certificate,,0,1 Weeks,Advanced,3,https://www.coursera.org/learn/data-intelligence-imtbs,Not Specified,Not Specified,Not Specified,Not Specified
Research Data Management and Sharing,Not Specified,Professional Certificate,,203,2 Weeks,Advanced,0,https://www.coursera.org/learn/data-management,Not Specified,Not Specified,Not Specified,Not Specified
Data Manipulation and Transactions in SQL Server,Not Specified,Professional Certificate,,42,2 Weeks,Advanced,2,https://www.coursera.org/learn/data-manipulation-and-transactions-in-sql-server,Data Manipulation; Performance Tuning; Transaction Processing; Database Management; Data Integrity; SQL; Data Access,Generative AI; Microsoft SQL Servers,Not Specified,Not Specified
Data Modeling in Power BI,Not Specified,Professional Certificate,,818,3 Weeks,Advanced,2,https://www.coursera.org/learn/data-modeling-in-power-bi,Not Specified,Not Specified,Not Specified,Not Specified
Prepare Data for Exploration,Not Specified,Professional Certificate,,177,2 Weeks,Advanced,0,https://www.coursera.org/learn/data-preparation,Databases; Metadata Management; Data Literacy; Data Quality; Data Import/Export; Data Analysis; Data Storage; Data Collection; Data Ethics; SQL; Data Management; Data Security; Unstructured Data,Google Sheets,Not Specified,Not Specified
Introduction to Data Science and scikit-learn in Python,Not Specified,Professional Certificate,,60,4- Weeks,Advanced,983,https://www.coursera.org/learn/data-science-and-scikit-learn-in-python,Not Specified,Not Specified,Not Specified,Not Specified
Data Science Ethics,Not Specified,Professional Certificate,,298,2 Weeks,Advanced,56,https://www.coursera.org/learn/data-science-ethics,Bayesian Statistics; Data Analysis; Data Ethics; Policy Analysis,Not Specified,Not Specified,Not Specified
Data Science with Real World Data in Pharma,Not Specified,Professional Certificate,,13,1 Weeks,Advanced,3,https://www.coursera.org/learn/data-science-in-rwd-analysis,Not Specified,Not Specified,Not Specified,Not Specified
Data Science & Inteligencia Artificial aplicados a negocios,Not Specified,Professional Certificate,,29,1 Weeks,Advanced,2,https://www.coursera.org/learn/data-science-inteligencia-artificial-aplicados-a-negocios,Not Specified,Not Specified,Not Specified,Not Specified
Data Science Methodology,Not Specified,Professional Certificate,,410,9 Hours,Advanced,1,https://www.coursera.org/learn/data-science-methodology,Business Analysis; Model Evaluation; Data Preprocessing; Data Cleansing; Data Science; Data Storytelling; Decision Tree Learning; Data Mining; Data Modeling; Data Analysis; Business Requirements,Jupyter; Model Deployment,Not Specified,Not Specified
The Data Scientist’s Toolbox,Not Specified,Professional Certificate,,802,2 Weeks,Advanced,1,https://www.coursera.org/learn/data-scientists-tools,Data Analysis; Software Installation; Data Literacy; Exploratory Data Analysis; Version Control; Statistical Programming; Data Science,R (Software); GitHub; Rmarkdown; R Programming,Not Specified,Not Specified
Data Visualization and Dashboards with Excel and Cognos,Not Specified,Professional Certificate,,334,2 Weeks,Advanced,741,https://www.coursera.org/learn/data-visualization-dashboards-excel-cognos,Not Specified,Not Specified,Not Specified,Not Specified
Data Visualization for Genome Biology,Not Specified,Professional Certificate,,25,2 Weeks,Advanced,135,https://www.coursera.org/learn/data-visualization-for-genome-biology,Not Specified,Not Specified,Not Specified,Not Specified
Data Visualization Fundamentals,Not Specified,Professional Certificate,,104,2 Weeks,Advanced,2,https://www.coursera.org/learn/data-visualization-fundamentals,Not Specified,Not Specified,Not Specified,Not Specified
Fundamentals of Visualization with Tableau,Not Specified,Professional Certificate,,774,7 Hours,Advanced,279,https://www.coursera.org/learn/data-visualization-tableau,Not Specified,Not Specified,Not Specified,Not Specified
SQL Problem Solving,Not Specified,Professional Certificate,,22,1 Weeks,Advanced,85,https://www.coursera.org/learn/data-wrangling-analysis-abtesting,Data Presentation; Business Metrics; Predictive Analytics; Data Cleansing; Complex Problem Solving; Data Quality; Debugging; Forecasting; Data Analysis; Business Reporting; SQL; Data Visualization,Query Languages; JSON,Not Specified,Not Specified
Governing Data in the Intelligence Age,Not Specified,Professional Certificate,,0,1 Weeks,Advanced,130,https://www.coursera.org/learn/datagovernance,Not Specified,Not Specified,Not Specified,Not Specified
Data Science in Stratified Healthcare and Precision Medicine,Not Specified,Professional Certificate,,88,2 Weeks,Advanced,684,https://www.coursera.org/learn/datascimed,Not Specified,Not Specified,Not Specified,Not Specified
Data Visualization,Not Specified,Professional Certificate,,407,2 Weeks,Advanced,151,https://www.coursera.org/learn/datavisualization,Plot (Graphics); Data Visualization Software; Data Storytelling; Tableau Software; Scatter Plots; Graphing; Data Mapping; Interactive Data Visualization; Data Presentation; Data Visualization,Dashboard,Not Specified,Not Specified
Data-driven Decision Making,Not Specified,Professional Certificate,,184,9 Hours,Advanced,397,https://www.coursera.org/learn/decision-making,Not Specified,Not Specified,Not Specified,Not Specified
"Decisions, Decisions: Dashboards and Reports",Not Specified,Professional Certificate,,351,2 Weeks,Advanced,16,https://www.coursera.org/learn/decisions-decisions-dashboards-and-reports,Not Specified,Not Specified,Not Specified,Not Specified
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",Not Specified,Professional Certificate,,919,- Days,Advanced,9,https://www.coursera.org/learn/deep-neural-network,Data Preprocessing; Model Evaluation; Deep Learning; Performance Tuning; Machine Learning Methods; Verification And Validation; Artificial Neural Networks,Tensorflow,Not Specified,Not Specified
Introduction to Neural Networks and PyTorch,Not Specified,Professional Certificate,,900,6 Weeks,Advanced,2,https://www.coursera.org/learn/deep-neural-networks-with-pytorch,Logistic Regression; Regression Analysis; Data Preprocessing; Artificial Neural Networks; Model Evaluation; Probability & Statistics; Statistical Methods,PyTorch (Machine Learning Library); Tensorflow,Not Specified,Not Specified
Deploy and Maintain Power BI Assets and Capstone project,Not Specified,Professional Certificate,,297,3 Weeks,Advanced,2,https://www.coursera.org/learn/deploy-and-maintain-power-bi-assets-and-capstone-project,Data Modeling; SQL; Data Security; Data Analysis; Data Management; Data Visualization Software,Dashboard; Power BI; Microsoft SQL Servers; Role-Based Access Control (RBAC),Not Specified,Not Specified
Developing Data Models with LookML,Not Specified,Professional Certificate,,72,6 Hours,Advanced,4,https://www.coursera.org/learn/developing-data-models-with-lookml,Data Warehousing; Data Modeling; Data Analysis; Looker (Software); SQL; Version Control; Database Design,Data Persistence; Dashboard,Not Specified,Not Specified
"DevOps, DataOps, MLOps",Not Specified,Professional Certificate,,77,5 Weeks,Advanced,271,https://www.coursera.org/learn/devops-dataops-mlops-duke,Not Specified,Not Specified,Not Specified,Not Specified
Data Storytelling,Not Specified,Professional Certificate,,31,2 Weeks,Advanced,46,https://www.coursera.org/learn/dlai-data-storytelling,Not Specified,Not Specified,Not Specified,Not Specified
Algorithms for DNA Sequencing,Not Specified,Professional Certificate,,125,1 Weeks,Beginner,48,https://www.coursera.org/learn/dna-sequencing,Algorithms; Data Analysis; Data Structures; Life Sciences; Bioinformatics; Molecular Biology; Computational Thinking,Python Programming,Not Specified,Not Specified
Energy Modeling: Predicting & Optimizing Consumption,Not Specified,Professional Certificate,,0,3 Hours,Advanced,8,https://www.coursera.org/learn/energy-modeling-predicting--optimizing-consumption,Not Specified,Not Specified,Not Specified,Not Specified
Econometrics: Methods and Applications,Not Specified,Professional Certificate,,129,7 Weeks,Advanced,200,https://www.coursera.org/learn/erasmus-econometrics,Not Specified,Not Specified,Not Specified,Not Specified
